snapshot_at,Article,Shop,Consegnato_Qty,Venduto_Qty,Periodo_Qty,Altro_Venduto_Qty,Sellout_Percent,Sellout_Clamped,Valore_1,Valore_2,Valore_3,Valore_4
2026-03-19 13:43:43+01:00,59/004RFPTM,BS,6.0,2.0,0.0,2.0,33.0,33.0,314.0,220.0,0.0,105.0
2026-03-19 13:43:43+01:00,59/004RFPTM,CA,4.0,1.0,0.0,0.0,25.0,25.0,209.0,122.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/004RFPTM,CO,6.0,4.0,1.0,5.0,67.0,67.0,314.0,476.0,110.0,261.0
2026-03-19 13:43:43+01:00,59/004RFPTM,EU,6.0,5.0,3.0,6.0,83.0,83.0,314.0,574.0,330.0,314.0
2026-03-19 13:43:43+01:00,59/004RFPTM,ME2,4.0,2.0,0.0,0.0,50.0,50.0,209.0,220.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/004RFPTM,OR,6.0,1.0,0.0,0.0,17.0,17.0,314.0,122.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/004RFPTM,RM,6.0,7.0,3.0,4.0,117.0,100.0,314.0,818.0,330.0,209.0
2026-03-19 13:43:43+01:00,59/004RFPTM,SM,4.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/004RFPTM,VR,6.0,4.0,0.0,4.0,67.0,67.0,314.0,440.0,0.0,209.0
2026-03-19 13:43:43+01:00,59/004RFPTM,WEB,0.0,3.0,3.0,0.0,55.0,55.0,3137.0,3749.0,1209.0,1412.0
2026-03-19 13:43:43+01:00,59/0111853N,AR,13.0,7.0,0.0,7.0,54.0,54.0,767.0,1042.0,0.0,413.0
2026-03-19 13:43:43+01:00,59/0111853N,AU,6.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,BO,8.0,1.0,1.0,8.0,13.0,13.0,472.0,132.0,132.0,472.0
2026-03-19 13:43:43+01:00,59/0111853N,BS,8.0,0.0,0.0,7.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,CA,8.0,1.0,0.0,0.0,13.0,13.0,472.0,132.0,0.0,0.0
2026-03-19 13:43:43+01:00,59/0111853N,CO,17.0,2.0,0.0,8.0,12.0,12.0,1003.0,293.0,0.0,472.0
2026-03-19 13:43:43+01:00,59/0111853N,EU,8.0,5.0,3.0,7.0,63.0,63.0,472.0,690.0,396.0,413.0
2026-03-19 13:43:43+01:00,59/0111853N,LN,11.0,6.0,1.0,8.0,55.0,55.0,649.0,866.0,132.0,472.0
2026-03-19 13:43:43+01:00,59/0111853N,M4,0.0,0.0,0.0,1.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,MC,5.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,ME2,5.0,1.0,0.0,5.0,20.0,20.0,295.0,147.0,0.0,295.0
2026-03-19 13:43:43+01:00,59/0111853N,MI,8.0,1.0,0.0,5.0,13.0,13.0,472.0,147.0,0.0,295.0
2026-03-19 13:43:43+01:00,59/0111853N,NV,14.0,7.0,3.0,6.0,50.0,50.0,826.0,983.0,396.0,354.0
2026-03-19 13:43:43+01:00,59/0111853N,OR,15.0,5.0,0.0,10.0,33.0,33.0,885.0,719.0,0.0,590.0
2026-03-19 13:43:43+01:00,59/0111853N,PD,6.0,0.0,0.0,5.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/0111853N,PM,0.0,0.0,0.0,4.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
