Article,Shop,Fascia,IsOutlet,Role,DemandRaw,DemandRule,DemandAI,DemandBlendWeight,DemandHybrid,DemandModelMode,DemandModelQualityR2,Periodo_Qty,Stock_after,ShopCapacityPairs,ShopCapacityTarget,ShopFreeCapacityAfter,ShopCapacitySource,CapacityBlockedMoves,OpsBlockedMoves,ShopInboundBudget,ShopOutboundBudget,ShopInboundUsed,ShopOutboundUsed,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42
59/0017CTM,TV,5.0,False,STORE,0.0,0.393975,0.35380209434711163,0.28015300953640493,0.3827204395795213,ridge_oof_blend,0.6225622434142332,0.0,5.0,5000.0,4250.0,3454.0,lista_negozi_linked,0,39757,700.0,179.74,158.0,179.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
59/0017CTM,VR,3.0,False,STORE,0.0,0.42075000000000007,1.3102328501050065,0.28015300953640493,0.6699412973879366,ridge_oof_blend,0.6225622434142332,0.0,5.0,5700.0,4845.0,2838.0,lista_negozi_linked,0,39757,700.0,477.18,315.0,477.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
59/0017CTM,WEB,,False,ONLINE,2.0,1.7135,0.43243455313515217,0.28015300953640493,1.3546056596477136,ridge_oof_blend,0.6225622434142332,2.0,1.0,,,,none,0,39757,81.84,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/004RFCTM,AR,1.0,False,STORE,2.0,2.3964,3.1429901877309474,0.28015300953640493,2.6055594879831743,ridge_oof_blend,0.6225622434142332,2.0,5.0,6080.0,5168.0,2387.0,lista_negozi_linked,0,39757,700.0,586.74,700.0,586.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
59/004RFCTM,BO,2.0,False,STORE,2.0,2.29655,1.9704585171546323,0.28015300953640493,2.2051944896966815,ridge_oof_blend,0.6225622434142332,2.0,1.0,10725.0,9116.25,6600.25,lista_negozi_linked,0,39757,700.0,551.54,560.0,551.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/004RFCTM,BS,2.0,False,STORE,1.25,1.6065500000000001,2.403698293848595,0.28015300953640493,1.8298734935684946,ridge_oof_blend,0.6225622434142332,1.0,1.0,6600.0,5610.0,3353.0,lista_negozi_linked,0,39757,700.0,481.8,548.0,481.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59/004RFCTM,CO,2.0,False,STORE,0.25,0.46345,1.112549825949098,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,5.0,8662.5,7363.125,5360.125,fascia_median,0,39757,700.0,447.7,415.0,447.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
59/004RFCTM,EU,1.0,False,STORE,3.25,4.1391898285714275,6.017407112763314,0.28015300953640493,4.665378053301078,ridge_oof_blend,0.6225622434142332,3.0,10.0,6080.0,5168.0,1294.0,fascia_median,0,39757,700.0,700.0,700.0,700.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0
59/004RFCTM,LN,4.0,False,STORE,1.5,1.9080000000000001,3.3514788994520632,0.28015300953640493,2.312394957883793,ridge_oof_blend,0.6225622434142332,1.0,1.0,5500.0,4675.0,3206.0,lista_negozi_linked,0,39757,700.0,353.54,215.0,353.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59/004RFCTM,MI,6.0,True,STORE,0.25,0.4,0.4765345194762557,0.28015300953640493,1.0,ridge_oof_blend,0.6225622434142332,0.0,10.0,6000.0,5100.0,4393.0,lista_negozi_linked,0,39757,700.0,162.00799999999998,343.0,162.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0
