Article,Shop,Periodo_Qty,Venduto_Qty,StockNow,SelloutUsed,DemandRule,DemandAI,DemandBlendWeight,DemandHybrid,ScarcityBoost,ServiceFactor,DemandModelMode,DemandModelQualityR2
59/B245PLNE,AR,5.0,6.0,3.0,75.0,8.048571428571428,7.377481201871328,0.280153009536405,7.860563481890926,1.242063492063492,1.2,ridge_oof_blend,0.6225622434142333
59/B245PLNE,AU,0.0,1.0,1.0,25.0,0.4,0.6960886422893082,0.280153009536405,1.0,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/B245PLNE,BO,1.0,7.0,5.0,78.0,4.114316557142857,5.1281098635071505,0.280153009536405,4.398333802968676,1.051327232274044,1.15,ridge_oof_blend,0.6225622434142333
59/B245PLNE,BS,0.0,2.0,3.0,18.0,0.9165499999999999,1.7624260712078166,0.280153009536405,1.1535247270437001,1.0,1.15,ridge_oof_blend,0.6225622434142333
59/B245PLNE,CA,1.0,3.0,3.0,75.0,1.854,2.5358278264164102,0.280153009536405,2.045016117556223,1.0,1.03,ridge_oof_blend,0.6225622434142333
59/B245PLNE,CO,4.0,10.0,3.0,91.0,9.688339449999999,7.583520482870741,0.280153009536405,9.09866808182943,1.316042021401234,1.15,ridge_oof_blend,0.6225622434142333
59/B245PLNE,EU,1.0,3.0,6.0,30.0,2.16,3.8324749885291327,0.280153009536405,2.6285489014108014,1.0,1.2,ridge_oof_blend,0.6225622434142333
59/B245PLNE,LN,3.0,5.0,5.0,71.0,4.267659488571427,4.829328641615147,0.280153009536405,4.425012792160389,1.0607545401509304,1.06,ridge_oof_blend,0.6225622434142333
59/B245PLNE,M4,0.0,0.0,0.0,51.0,0.153,0.45089305376984784,0.280153009536405,0.23645563553361298,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/B245PLNE,MC,0.0,0.0,2.0,51.0,0.22949999999999998,1.3052528821279257,0.280153009536405,0.5308754074455999,1.0,1.0,ridge_oof_blend,0.6225622434142333
59/B245PLNE,ME2,0.0,0.0,1.0,51.0,0.47276999999999997,1.2323081203151687,0.280153009536405,0.6855568902639185,1.0,1.03,ridge_oof_blend,0.6225622434142333
