snapshot_at,Article,Description,Shop,Ricevuto,Giacenza,Consegnato,Venduto,Sellout_Percent,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42,Valore_Giac
2026-03-18 10:37:00,59/042CTM,T10 INCROCIO FIBBIA SQUADR,OR,0.0,5.0,9.0,5.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/042CTM,T10 INCROCIO FIBBIA SQUADR,RI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042CTM,T10 INCROCIO FIBBIA SQUADR,RM,0.0,4.0,7.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042CTM,T10 INCROCIO FIBBIA SQUADR,VR,0.0,2.0,10.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042CTM,T10 INCROCIO FIBBIA SQUADR,WEB,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,AR,0.0,0.0,6.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,BO,0.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,EU,0.0,2.0,6.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,LN,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,RM,0.0,0.0,6.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,VR,0.0,4.0,6.0,4.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/042PNE,T10 INCROCIO FIBBIA SQUADR,WEB,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,AR,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,BO,0.0,2.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,BS,0.0,4.0,6.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,CO,0.0,5.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,EU,0.0,7.0,7.0,4.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,LN,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,M4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-18 10:37:00,59/2098CTM,T10 MASCH BOCCALEONE CUCI NORV,ME2,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
