Article,Size,From,To,Reason,Qty
59/019PNE,36,CO,RI,Top-up to target,1
59/019PNE,37,CO,RI,Fill required run,1
59/019PNE,38,CO,RI,Top-up to target,1
59/019PNE,39,CO,RI,Fill required run,1
59/019PNE,36,EU,CO,Fill required run,1
59/019PNE,37,EU,CO,Fill required run,1
59/019PNE,38,EU,CO,Fill required run,1
59/019PNE,39,EU,CO,Fill required run,1
59/019PNE,40,EU,CO,Fill required run,1
59/019PNE,37,EU,RM,Fill required run,1
59/019PNE,39,EU,RM,Fill required run,1
59/019PNE,40,EU,RM,Top-up to target,1
59/019PNE,37,NV,VR,Fill required run,1
59/019PNE,38,NV,VR,Fill required run,1
59/019PNE,37,RI,NV,Fill required run,1
59/019PNE,38,RI,NV,Fill required run,1
59/019PNE,39,RI,NV,Fill required run,1
59/019PNE,36,RI,RM,Fill required run,1
59/019PNE,38,RI,RM,Top-up to target,1
59/019PNE,36,RM,AR,Fill required run,1
59/019PNE,37,RM,AR,Fill required run,1
59/019PNE,38,RM,AR,Fill required run,1
59/019PNE,39,RM,AR,Fill required run,1
59/019PNE,40,RM,AR,Fill required run,1
59/019PNE,38,RM,EU,Top-up to target,1
59/0215NBTM,38,AU,BS,Top-up to target,1
59/0215NBTM,39,AU,NV,Top-up to target,1
59/0215NBTM,40,MC,BS,Top-up to target,1
59/0215NBTM,38,MC,NV,Top-up to target,1
59/0215NBTM,37,SC,BS,Top-up to target,1
59/0215NBTM,38,SC,VR,Top-up to target,1
59/0215NBTM,39,SD,BS,Top-up to target,1
59/0215PTM,37,M4,CO,Top-up to target,1
59/02584PBO,37,ME2,EU,Top-up to target,1
59/02584PBO,38,ME2,EU,Top-up to target,1
59/02584PBO,39,PD,EU,Top-up to target,1
59/02584PBO,37,PD,RM,Top-up to target,1
59/02584PBO,38,RI,RM,Top-up to target,1
59/02584PNE,38,AU,RM,Top-up to target,1
59/02584PNE,37,CA,AR,Top-up to target,1
59/02584PNE,40,CA,AR,Top-up to target,1
59/02584PNE,39,CA,LN,Top-up to target,1
59/02584PNE,38,MC,AR,Top-up to target,1
59/02584PNE,39,MC,RM,Fill required run,1
59/02584PNE,37,ME2,BO,Top-up to target,1
59/02584PNE,38,MI,LN,Fill required run,1
59/02584PNE,39,MI,RM,Top-up to target,1
59/02584PNE,36,PD,EU,Top-up to target,1
59/02584PNE,37,PD,LN,Top-up to target,1
59/02584PNE,40,PD,LN,Top-up to target,1
59/02584PNE,38,PD,TV,Fill required run,1
59/02584PNE,36,PM,RM,Top-up to target,1
59/02584PNE,40,PM,SM,Fallback to outlet (unfillable run),1
59/02584PNE,37,PM,TV,Fill required run,1
59/02584PNE,39,PM,TV,Fill required run,1
59/02584PNE,36,RI,AR,Fill required run,1
59/02584PNE,37,SD,EU,Top-up to target,1
59/02584PNE,38,SD,EU,Top-up to target,1
59/02584PNE,39,SD,EU,Top-up to target,1
59/02584PNE,40,SD,EU,Top-up to target,1
59/02584PNE,39,SM,AR,Top-up to target,1
59/02584PNE,38,SM,LN,Top-up to target,1
59/02584PNE,37,SM,RM,Top-up to target,1
59/02584PNE,40,SM,RM,Top-up to target,1
59/02584PTM,37,TV,EU,Top-up to target,1
59/02584PTM,38,TV,EU,Top-up to target,1
59/02584PTM,39,TV,EU,Top-up to target,1
59/02584PTM,40,TV,EU,Top-up to target,1
59/02HARCTM,38,AR,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,39,AR,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,37,AR,BO,Top-up to target,1
59/02HARCTM,36,AR,EU,Fill required run,1
59/02HARCTM,38,BO,AU,Fallback to outlet (unfillable run),2
59/02HARCTM,39,BO,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,41,BO,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,36,BO,BS,Fill required run,1
59/02HARCTM,37,BO,BS,Fill required run,1
59/02HARCTM,37,BO,BS,Top-up to target,1
59/02HARCTM,38,BS,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,37,BS,BO,Fill required run,1
59/02HARCTM,41,BS,BO,Top-up to target,1
59/02HARCTM,36,BS,CO,Fill required run,1
59/02HARCTM,37,BS,CO,Fill required run,1
59/02HARCTM,40,BS,CO,Fill required run,1
59/02HARCTM,37,BS,VR,Top-up to target,1
59/02HARCTM,37,CO,EU,Fill required run,1
59/02HARCTM,36,CO,VR,Top-up to target,1
59/02HARCTM,37,CO,VR,Fill required run,1
59/02HARCTM,38,CO,VR,Top-up to target,1
59/02HARCTM,39,CO,VR,Top-up to target,1
59/02HARCTM,37,EU,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,38,EU,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,39,EU,AU,Fallback to outlet (unfillable run),2
59/02HARCTM,41,EU,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,36,EU,BO,Fill required run,1
59/02HARCTM,40,LN,AR,Fill required run,1
59/02HARCTM,38,LN,BO,Top-up to target,1
59/02HARCTM,39,LN,BO,Fill required run,1
59/02HARCTM,39,NV,BO,Top-up to target,1
59/02HARCTM,40,NV,EU,Fill required run,1
59/02HARCTM,40,OR,BO,Fill required run,1
59/02HARCTM,38,OR,CO,Fill required run,1
59/02HARCTM,37,RI,AR,Fill required run,1
59/02HARCTM,40,RI,BO,Top-up to target,1
59/02HARCTM,38,RI,VR,Fill required run,1
59/02HARCTM,36,RM,AR,Fill required run,1
59/02HARCTM,38,RM,AU,Fallback to outlet (unfillable run),2
59/02HARCTM,39,RM,AU,Fallback to outlet (unfillable run),1
59/02HARCTM,37,VR,PM,Fill required run,1
59/02HARCTM,38,VR,PM,Fill required run,1
59/02HARCTM,39,VR,PM,Fill required run,1
59/033ZPNE,38,MI,BO,Top-up to target,1
59/03584PNE,40,LN,BS,Top-up to target,1
59/03584PNE,37,LN,RM,Top-up to target,1
59/03584PNE,38,LN,RM,Fill required run,1
59/03584PNE,37,PD,AR,Top-up to target,1
59/03584PNE,38,PD,AR,Top-up to target,1
59/03584PNE,39,PD,BS,Top-up to target,1
59/03584PNE,40,PD,EU,Top-up to target,1
59/03584PNE,37,PM,BS,Fill required run,1
59/03584PNE,37,TV,EU,Top-up to target,1
59/03584PNE,38,TV,EU,Top-up to target,1
59/03584PNE,39,TV,EU,Top-up to target,1
59/042CTM,37,AR,AU,Fallback to outlet (unfillable run),2
59/042CTM,38,AR,AU,Fallback to outlet (unfillable run),1
59/042CTM,39,AR,AU,Fallback to outlet (unfillable run),1
59/042CTM,41,AR,BO,Top-up to target,1
59/042CTM,41,AR,EU,Top-up to target,1
59/042CTM,38,AR,OR,Top-up to target,1
59/042CTM,38,AR,RM,Top-up to target,1
59/042CTM,41,BO,AU,Fallback to outlet (unfillable run),1
59/042CTM,37,BO,CO,Top-up to target,1
59/042CTM,40,BO,EU,Top-up to target,1
59/042CTM,39,BO,OR,Top-up to target,1
59/042CTM,38,BO,RI,Fill required run,1
59/042CTM,39,BO,RI,Fill required run,1
59/042CTM,37,BO,RM,Top-up to target,1
59/042CTM,37,CO,RI,Fill required run,1
59/042CTM,37,EU,AU,Fallback to outlet (unfillable run),2
59/042CTM,38,EU,AU,Fallback to outlet (unfillable run),2
59/042CTM,41,EU,AU,Fallback to outlet (unfillable run),1
59/042CTM,37,LN,AR,Top-up to target,1
59/042CTM,38,LN,AR,Top-up to target,1
59/042CTM,39,LN,AR,Top-up to target,1
59/042CTM,40,OR,AR,Top-up to target,1
59/042CTM,41,OR,AR,Top-up to target,1
59/042CTM,38,OR,AU,Fallback to outlet (unfillable run),1
59/042CTM,38,OR,EU,Top-up to target,1
59/042CTM,39,OR,EU,Top-up to target,1
59/042CTM,37,OR,LN,Top-up to target,1
59/042CTM,39,OR,LN,Fill required run,1
59/042CTM,37,OR,VR,Fill required run,1
59/042CTM,39,OR,VR,Fill required run,1
59/042CTM,38,RI,OR,Fill required run,1
59/042CTM,39,RI,OR,Fill required run,1
59/042CTM,37,RM,BO,Top-up to target,1
59/042CTM,38,RM,BO,Top-up to target,1
59/042CTM,39,RM,BO,Top-up to target,1
59/042CTM,40,RM,BO,Top-up to target,1
59/042CTM,37,RM,OR,Top-up to target,1
59/042CTM,37,VR,EU,Top-up to target,1
59/042CTM,37,VR,LN,Fill required run,1
59/042CTM,38,VR,LN,Fill required run,1
59/042PNE,35,VR,RM,Top-up to target,1
59/042PNE,39,VR,RM,Top-up to target,1
59/042PNE,40,VR,RM,Top-up to target,1
59/0553PGR,37,AR,AU,Fallback to outlet (unfillable run),1
59/0553PGR,38,AR,AU,Fallback to outlet (unfillable run),1
59/0553PGR,36,AR,BS,Fill required run,1
59/0553PGR,37,BO,AU,Fallback to outlet (unfillable run),1
59/0553PGR,39,BO,LN,Fill required run,1
