Article,Size,From,To,Reason,Qty
59/295CCNE,40,CO,RM,Top-up to target,1
59/295CCNE,37,EU,AR,Top-up to target,1
59/295CCNE,39,EU,AR,Top-up to target,1
59/295CCNE,37,EU,BO,Top-up to target,1
59/295CCNE,39,EU,BO,Top-up to target,1
59/295CCNE,40,EU,BO,Top-up to target,1
59/295CCNE,37,OR,VR,Fill required run,1
59/295CCNE,39,OR,VR,Fill required run,1
59/295CCNE,41,RM,BO,Top-up to target,1
59/295CCNE,38,VR,RM,Top-up to target,1
59/300PNE,35,AU,BO,Top-up to target,1
59/300PNE,36,AU,BO,Fill required run,1
59/300PNE,37,AU,BO,Top-up to target,1
59/300PNE,40,AU,BO,Top-up to target,1
59/300PNE,38,AU,CO,Fill required run,1
59/300PNE,39,AU,VR,Fill required run,1
59/300PNE,37,MC,CO,Top-up to target,1
59/300PNE,38,MC,CO,Top-up to target,1
59/300PNE,39,MC,VR,Top-up to target,1
59/300PNE,37,SC,VR,Top-up to target,1
59/300PNE,38,SD,BO,Top-up to target,1
59/300PNE,39,SD,BO,Top-up to target,1
59/300PNE,40,SD,BO,Fill required run,1
59/300PNE,36,SM,BO,Top-up to target,1
59/300PNE,37,SM,NV,Top-up to target,1
59/300PNE,38,SM,VR,Top-up to target,1
59/300PNE,40,SM,VR,Top-up to target,1
59/302CTM,37,MC,NV,Top-up to target,1
59/302CTM,38,MC,NV,Top-up to target,1
59/302CTM,37,SD,CO,Top-up to target,1
59/302CTM,38,SD,CO,Top-up to target,1
59/302CTM,39,SD,CO,Top-up to target,1
59/302CTM,36,SM,CO,Fill required run,1
59/3052CCNE,36,AR,BO,Fill required run,1
59/3052CCNE,37,AR,BO,Fill required run,1
59/3052CCNE,39,AR,BO,Fill required run,1
59/3052CCNE,40,AR,BO,Fill required run,1
59/3052CCNE,40,BO,EU,Fill required run,1
59/3052CCNE,39,BO,RM,Fill required run,1
59/3052CCNE,36,BO,VR,Top-up to target,1
59/3052CCNE,37,BO,VR,Top-up to target,1
59/3052CCNE,38,BO,VR,Fill required run,1
59/3052CCNE,39,BO,VR,Fill required run,1
59/3052CCNE,37,BS,AR,Fill required run,1
59/3052CCNE,40,BS,AR,Fill required run,1
59/3052CCNE,39,BS,RM,Top-up to target,1
59/3052CCNE,38,CO,AR,Fill required run,1
59/3052CCNE,35,CO,RM,Top-up to target,1
59/3052CCNE,36,CO,RM,Top-up to target,1
59/3052CCNE,40,CO,RM,Top-up to target,1
59/3052CCNE,36,EU,AR,Fill required run,1
59/3052CCNE,39,EU,AR,Fill required run,1
59/3052CCNE,35,EU,VR,Top-up to target,1
59/3052CCNE,38,EU,VR,Top-up to target,1
59/3052CCNE,40,EU,VR,Top-up to target,1
59/3052CCNE,37,LN,RM,Top-up to target,1
59/3052CCNE,38,LN,RM,Top-up to target,1
59/3052CCNE,38,RI,EU,Fill required run,1
59/3052CCNE,40,RI,RM,Fill required run,1
59/3052CCNE,35,RM,AU,Fallback to outlet (unfillable run),1
59/3052CCNE,36,RM,AU,Fallback to outlet (unfillable run),1
59/3052CCNE,37,RM,AU,Fallback to outlet (unfillable run),2
59/3052CCNE,38,RM,AU,Fallback to outlet (unfillable run),2
59/3052CCNE,36,RM,EU,Top-up to target,1
59/3052CCNE,39,RM,EU,Fill required run,1
59/3052CCNE,39,RM,VR,Top-up to target,1
59/3052CCNE,37,VR,NV,Fill required run,1
59/3052CCNE,38,VR,NV,Fill required run,1
59/3052CCNE,39,VR,NV,Fill required run,1
59/3052CCTM,37,AR,EU,Top-up to target,1
59/3052CCTM,38,AR,EU,Top-up to target,1
59/3052CCTM,39,AR,EU,Top-up to target,1
59/3052CCTM,37,BO,BS,Top-up to target,1
59/3052CCTM,38,BO,BS,Top-up to target,1
59/3052CCTM,38,BO,RM,Top-up to target,1
59/3052CCTM,39,BO,RM,Top-up to target,1
59/3052CCTM,37,BO,VR,Top-up to target,1
59/3052CCTM,37,BS,VR,Fill required run,1
59/3052CCTM,37,CO,BO,Top-up to target,1
59/3052CCTM,38,CO,BO,Top-up to target,1
59/3052CCTM,39,CO,BO,Top-up to target,1
59/3052CCTM,37,CO,RM,Top-up to target,1
59/3052CCTM,37,EU,CO,Top-up to target,1
59/3052CCTM,38,EU,CO,Top-up to target,1
59/3052CCTM,39,EU,CO,Top-up to target,1
59/3052CCTM,37,RM,AR,Top-up to target,1
59/3052CCTM,38,RM,AR,Top-up to target,1
59/3052CCTM,39,RM,AR,Top-up to target,1
59/3052CGR,36,AR,EU,Fill required run,1
59/3052CGR,37,AR,EU,Fill required run,1
59/3052CGR,36,EU,AU,Fallback to outlet (unfillable run),1
59/3052CGR,37,EU,AU,Fallback to outlet (unfillable run),1
59/3052CGR,36,EU,RM,Fill required run,1
59/3052CGR,38,EU,RM,Fill required run,1
59/3052CGR,39,EU,RM,Fill required run,1
59/3052CGR,36,RM,AR,Fill required run,1
59/3052CGR,37,RM,AR,Fill required run,1
59/3052CGR,38,RM,AR,Fill required run,1
59/3055CGR,38,BO,RM,Top-up to target,1
59/3055CGR,36,BS,AU,Fallback to outlet (unfillable run),1
59/3055CGR,37,BS,NV,Fill required run,1
59/3055CGR,38,BS,NV,Fill required run,1
59/3055CGR,39,BS,NV,Fill required run,1
59/3055CGR,37,EU,AU,Fallback to outlet (unfillable run),1
59/3055CGR,36,EU,BS,Fill required run,1
59/3055CGR,37,EU,BS,Fill required run,1
59/3055CGR,38,EU,BS,Fill required run,1
59/3055CGR,39,EU,BS,Fill required run,1
59/3055CGR,40,EU,BS,Fill required run,1
59/3055CGR,39,EU,RM,Top-up to target,1
59/3055CGR,37,NV,OR,Fill required run,1
59/3055CGR,38,NV,OR,Fill required run,1
59/3055CGR,37,OR,LN,Fill required run,1
59/3055CGR,38,OR,LN,Fill required run,1
59/3055CGR,37,OR,RM,Top-up to target,1
59/3055CGR,41,RM,AU,Fallback to outlet (unfillable run),1
59/3055CGR,36,RM,EU,Fill required run,1
59/3055CGR,37,RM,EU,Top-up to target,1
59/3055CGR,38,RM,EU,Top-up to target,1
59/3055CGR,39,RM,EU,Fill required run,1
59/3055CGR,40,RM,EU,Fill required run,1
59/3055CGR,39,RM,LN,Fill required run,1
59/3055CTM,41,AR,AU,Fallback to outlet (unfillable run),1
59/3055CTM,36,AR,BS,Fill required run,1
59/3055CTM,36,AR,RM,Fill required run,1
59/3055CTM,40,AR,RM,Fill required run,1
59/3055CTM,35,AR,VR,Top-up to target,1
59/3055CTM,38,AR,VR,Top-up to target,1
59/3055CTM,39,AR,VR,Top-up to target,1
59/3055CTM,36,BO,CO,Fill required run,1
59/3055CTM,37,BO,CO,Fill required run,1
59/3055CTM,38,BO,CO,Fill required run,1
59/3055CTM,40,BO,CO,Fill required run,1
59/3055CTM,36,BS,AR,Top-up to target,1
59/3055CTM,36,BS,BO,Fill required run,1
59/3055CTM,38,BS,BO,Fill required run,1
59/3055CTM,40,BS,BO,Fill required run,1
59/3055CTM,37,BS,VR,Top-up to target,1
59/3055CTM,36,CO,AU,Fallback to outlet (unfillable run),1
59/3055CTM,37,CO,VR,Fill required run,1
59/3055CTM,38,CO,VR,Fill required run,1
59/3055CTM,39,CO,VR,Fill required run,1
59/3055CTM,36,EU,AU,Fallback to outlet (unfillable run),1
59/3055CTM,37,EU,AU,Fallback to outlet (unfillable run),1
59/3055CTM,38,EU,AU,Fallback to outlet (unfillable run),1
59/3055CTM,37,LN,PD,Fill required run,1
59/3055CTM,38,LN,PD,Fill required run,1
59/3055CTM,37,OR,RI,Fill required run,1
59/3055CTM,38,OR,RI,Fill required run,1
59/3055CTM,40,PM,AR,Fill required run,1
59/3055CTM,39,PM,BO,Fill required run,1
59/3055CTM,37,PM,RM,Fill required run,1
59/3055CTM,38,PM,RM,Fill required run,1
59/3055CTM,37,RI,LN,Fill required run,1
59/3055CTM,38,RI,LN,Fill required run,1
59/3055CTM,37,RM,AU,Fallback to outlet (unfillable run),1
59/3055CTM,41,RM,AU,Fallback to outlet (unfillable run),1
59/3055CTM,36,RM,BS,Top-up to target,1
59/3055CTM,40,RM,BS,Fill required run,1
59/3055CTM,39,RM,LN,Fill required run,1
59/3055CTM,39,RM,PD,Fill required run,1
59/3055CTM,37,TV,AR,Top-up to target,1
59/3055CTM,39,TV,AR,Fill required run,1
59/3055CTM,36,VR,AR,Fill required run,1
59/3055CTM,35,VR,AU,Fallback to outlet (unfillable run),2
59/3055CTM,41,VR,AU,Fallback to outlet (unfillable run),1
59/3055CTM,37,VR,BO,Fill required run,1
59/3055CTM,38,VR,BS,Fill required run,1
59/3055CTM,39,VR,CO,Fill required run,1
59/3055CTM,37,VR,OR,Fill required run,1
59/3055CTM,38,VR,OR,Fill required run,1
59/3055CTM,39,VR,OR,Fill required run,1
59/3055CTM,39,VR,RI,Fill required run,1
59/3055CTO,38,BO,AU,Fallback to outlet (unfillable run),1
59/3055CTO,38,BS,AU,Fallback to outlet (unfillable run),1
59/3055CTO,38,EU,AU,Fallback to outlet (unfillable run),2
59/3055CTO,35,EU,VR,Top-up to target,1
59/3055CTO,36,EU,VR,Top-up to target,1
59/3055CTO,38,LN,VR,Top-up to target,1
59/3055CTO,39,LN,VR,Top-up to target,1
59/3055CTO,38,NV,AU,Fallback to outlet (unfillable run),1
59/3055CTO,38,RM,AU,Fallback to outlet (unfillable run),2
59/3055CTO,40,RM,VR,Top-up to target,1
59/3055CTO,35,VR,AU,Fallback to outlet (unfillable run),1
59/3055CTO,36,VR,AU,Fallback to outlet (unfillable run),1
59/3055CTO,40,VR,AU,Fallback to outlet (unfillable run),1
59/3055PBO,36,AR,BS,Fill required run,1
59/3055PBO,37,AR,BS,Fill required run,1
59/3055PBO,38,AR,BS,Top-up to target,1
59/3055PBO,40,AR,BS,Fill required run,1
59/3055PBO,36,BO,MI,Fallback to outlet (unfillable run),1
59/3055PBO,37,BO,OR,Fill required run,1
59/3055PBO,38,BO,OR,Top-up to target,1
59/3055PBO,39,BO,OR,Fill required run,1
59/3055PBO,36,BS,BO,Fill required run,1
59/3055PBO,37,BS,BO,Fill required run,1
59/3055PBO,38,BS,BO,Fill required run,1
59/3055PBO,36,BS,CO,Fill required run,1
59/3055PBO,37,BS,CO,Fill required run,1
59/3055PBO,39,BS,CO,Fill required run,1
59/3055PBO,40,BS,CO,Fill required run,1
59/3055PBO,36,BS,RM,Top-up to target,1
59/3055PBO,37,BS,RM,Top-up to target,1
59/3055PBO,38,BS,RM,Top-up to target,1
59/3055PBO,40,BS,RM,Fill required run,1
59/3055PBO,37,CA,PD,Fill required run,1
59/3055PBO,39,CO,BO,Fill required run,1
59/3055PBO,40,CO,BO,Fill required run,1
59/3055PBO,36,CO,MI,Fallback to outlet (unfillable run),1
59/3055PBO,37,CO,OR,Top-up to target,1
59/3055PBO,36,EU,AR,Fill required run,1
59/3055PBO,37,EU,AR,Fill required run,1
59/3055PBO,39,EU,AR,Fill required run,1
59/3055PBO,40,EU,AR,Fill required run,1
59/3055PBO,36,EU,BS,Top-up to target,1
59/3055PBO,37,EU,BS,Top-up to target,1
59/3055PBO,40,EU,BS,Top-up to target,1
59/3055PBO,38,EU,MI,Fallback to outlet (unfillable run),1
59/3055PBO,40,EU,RM,Top-up to target,1
59/3055PBO,41,EU,RM,Top-up to target,1
59/3055PBO,37,LN,CA,Fill required run,1
59/3055PBO,38,LN,CA,Fill required run,1
59/3055PBO,37,NV,VR,Fill required run,1
59/3055PBO,38,NV,VR,Fill required run,1
59/3055PBO,35,OR,RI,Top-up to target,1
59/3055PBO,37,OR,RI,Fill required run,1
59/3055PBO,37,OR,RI,Top-up to target,1
59/3055PBO,38,OR,RI,Top-up to target,1
59/3055PBO,39,OR,RI,Top-up to target,1
59/3055PBO,37,PD,MI,Fallback to outlet (unfillable run),1
59/3055PBO,40,PD,MI,Fallback to outlet (unfillable run),1
59/3055PBO,37,PM,LN,Fill required run,1
59/3055PBO,38,PM,LN,Fill required run,1
59/3055PBO,39,PM,LN,Fill required run,1
59/3055PBO,38,PM,PD,Fill required run,1
59/3055PBO,39,PM,RM,Fill required run,1
59/3055PBO,37,RI,NV,Fill required run,1
59/3055PBO,38,RI,NV,Fill required run,1
59/3055PBO,39,RI,NV,Fill required run,1
59/3055PBO,37,RI,PM,Top-up to target,1
59/3055PBO,38,RI,PM,Top-up to target,1
59/3055PBO,36,RI,RM,Fill required run,1
59/3055PBO,37,RI,RM,Fill required run,1
59/3055PBO,36,RM,EU,Fill required run,1
59/3055PBO,36,RM,EU,Top-up to target,1
59/3055PBO,37,RM,EU,Fill required run,1
59/3055PBO,37,RM,EU,Top-up to target,1
59/3055PBO,38,RM,EU,Top-up to target,1
59/3055PBO,39,RM,EU,Fill required run,1
59/3055PBO,40,RM,EU,Fill required run,1
59/3055PBO,40,RM,EU,Top-up to target,1
59/3055PBO,35,RM,OR,Top-up to target,1
59/3055PBO,37,VR,PM,Fill required run,1
59/3055PBO,39,VR,PM,Fill required run,1
59/3055PNE,40,BO,BS,Fill required run,1
59/3055PNE,36,BO,MI,Fallback to outlet (unfillable run),2
59/3055PNE,37,BO,MI,Fallback to outlet (unfillable run),2
59/3055PNE,41,BO,MI,Fallback to outlet (unfillable run),1
59/3055PNE,39,BO,OR,Top-up to target,1
59/3055PNE,39,BO,TV,Fill required run,1
59/3055PNE,35,BO,VR,Top-up to target,1
59/3055PNE,36,BS,CO,Fill required run,1
59/3055PNE,39,BS,CO,Fill required run,1
59/3055PNE,40,BS,CO,Fill required run,1
59/3055PNE,36,BS,MI,Fallback to outlet (unfillable run),1
59/3055PNE,37,BS,VR,Top-up to target,1
59/3055PNE,37,CA,PD,Fill required run,1
59/3055PNE,38,CA,PD,Fill required run,1
59/3055PNE,40,CO,BO,Top-up to target,1
59/3055PNE,36,CO,BS,Top-up to target,1
59/3055PNE,36,CO,VR,Top-up to target,1
59/3055PNE,37,CO,VR,Fill required run,1
59/3055PNE,38,CO,VR,Top-up to target,1
59/3055PNE,39,CO,VR,Top-up to target,1
59/3055PNE,37,LN,CA,Fill required run,1
59/3055PNE,38,LN,CA,Fill required run,1
59/3055PNE,39,LN,CA,Fill required run,1
59/3055PNE,38,LN,RM,Top-up to target,1
59/3055PNE,39,LN,RM,Top-up to target,1
59/3055PNE,37,ME2,RM,Top-up to target,1
59/3055PNE,37,NV,RI,Fill required run,1
59/3055PNE,38,NV,RI,Fill required run,1
59/3055PNE,36,OR,AR,Top-up to target,1
59/3055PNE,35,OR,BO,Top-up to target,1
59/3055PNE,37,OR,BO,Top-up to target,1
59/3055PNE,40,OR,BO,Fill required run,1
59/3055PNE,37,OR,LN,Top-up to target,1
59/3055PNE,38,OR,LN,Fill required run,1
59/3055PNE,39,OR,LN,Fill required run,1
59/3055PNE,35,OR,MI,Fallback to outlet (unfillable run),1
59/3055PNE,39,OR,PD,Fill required run,1
59/3055PNE,37,PD,TV,Fill required run,1
59/3055PNE,38,PD,TV,Fill required run,1
59/3055PNE,40,PM,AR,Fill required run,1
59/3055PNE,37,PM,BO,Fill required run,1
59/3055PNE,38,PM,BO,Top-up to target,1
59/3055PNE,39,PM,BO,Top-up to target,1
59/3055PNE,41,PM,BO,Top-up to target,1
59/3055PNE,36,PM,RM,Top-up to target,1
59/3055PNE,37,RI,OR,Fill required run,1
59/3055PNE,38,RI,OR,Top-up to target,1
59/3055PNE,36,VR,BO,Top-up to target,1
59/3055PNE,37,VR,BS,Top-up to target,1
59/3055PNE,37,VR,NV,Fill required run,1
59/3055PNE,38,VR,NV,Fill required run,1
59/3055PNE,39,VR,NV,Fill required run,1
59/3055PNE,35,VR,OR,Top-up to target,1
59/3055PNE,37,VR,OR,Top-up to target,1
59/3055PNE,39,VR,RI,Fill required run,1
59/3055PTBE,37,AR,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,38,AR,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,39,AR,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,37,BS,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,38,CO,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,37,EU,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,38,EU,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,39,EU,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,41,EU,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,37,PM,BS,Top-up to target,1
59/3055PTBE,38,PM,BS,Top-up to target,1
59/3055PTBE,40,PM,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,37,RM,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,38,RM,MI,Fallback to outlet (unfillable run),1
59/3055PTBE,39,RM,MI,Fallback to outlet (unfillable run),1
59/3055PTCU,37,BO,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,38,BO,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,39,BO,AU,Fallback to outlet (unfillable run),2
59/3055PTCU,37,BS,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,38,BS,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,39,BS,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,41,BS,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,36,EU,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,38,EU,AU,Fallback to outlet (unfillable run),2
59/3055PTCU,39,EU,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,38,OR,CO,Fill required run,1
59/3055PTCU,39,PM,AR,Fill required run,1
59/3055PTCU,36,PM,CO,Fill required run,1
59/3055PTCU,37,PM,CO,Fill required run,1
59/3055PTCU,40,RI,AR,Fill required run,1
59/3055PTCU,38,RI,NV,Fill required run,1
59/3055PTCU,39,RI,NV,Fill required run,1
59/3055PTCU,38,RM,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,39,RM,AU,Fallback to outlet (unfillable run),2
59/3055PTCU,41,RM,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,38,VR,AU,Fallback to outlet (unfillable run),1
59/3055PTCU,40,VR,CO,Fill required run,1
59/3055PTCU,37,VR,NV,Fill required run,1
59/3055PTM,36,BS,RM,Top-up to target,1
59/3055PTM,39,EU,RM,Top-up to target,1
59/3055PTM,36,OR,RM,Fill required run,1
59/3057CTO,38,BO,AU,Fallback to outlet (unfillable run),2
59/3057CTO,39,BO,AU,Fallback to outlet (unfillable run),2
59/3057CTO,38,BS,AU,Fallback to outlet (unfillable run),2
59/3057CTO,39,BS,AU,Fallback to outlet (unfillable run),1
59/3057CTO,37,BS,NV,Fill required run,1
59/3057CTO,37,EU,AU,Fallback to outlet (unfillable run),1
59/3057CTO,38,EU,AU,Fallback to outlet (unfillable run),1
59/3057CTO,39,EU,AU,Fallback to outlet (unfillable run),1
59/3057CTO,41,EU,AU,Fallback to outlet (unfillable run),1
59/3057CTO,38,OR,AU,Fallback to outlet (unfillable run),2
59/3057CTO,40,PM,AU,Fallback to outlet (unfillable run),1
59/3057CTO,38,PM,NV,Fill required run,1
59/3057CTO,39,PM,NV,Fill required run,1
59/3057CTO,37,RM,AU,Fallback to outlet (unfillable run),1
59/3057CTO,39,RM,AU,Fallback to outlet (unfillable run),1
59/3057CTO,41,RM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,36,BO,AR,Top-up to target,1
59/3057PNE,38,BO,AU,Fallback to outlet (unfillable run),1
59/3057PNE,39,BO,AU,Fallback to outlet (unfillable run),1
59/3057PNE,39,BS,AU,Fallback to outlet (unfillable run),1
59/3057PNE,41,BS,AU,Fallback to outlet (unfillable run),1
59/3057PNE,38,CO,AU,Fallback to outlet (unfillable run),1
59/3057PNE,41,CO,AU,Fallback to outlet (unfillable run),1
59/3057PNE,37,LN,AR,Top-up to target,1
59/3057PNE,38,LN,AR,Top-up to target,1
59/3057PNE,41,LN,AU,Fallback to outlet (unfillable run),1
59/3057PNE,36,M4,EU,Top-up to target,1
59/3057PNE,38,NV,AU,Fallback to outlet (unfillable run),1
59/3057PNE,40,NV,AU,Fallback to outlet (unfillable run),1
59/3057PNE,38,OR,AU,Fallback to outlet (unfillable run),1
59/3057PNE,39,OR,AU,Fallback to outlet (unfillable run),1
59/3057PNE,37,OR,VR,Top-up to target,1
59/3057PNE,37,PD,EU,Top-up to target,1
59/3057PNE,38,PD,EU,Top-up to target,1
59/3057PNE,39,PD,EU,Top-up to target,1
59/3057PNE,40,PD,EU,Top-up to target,1
59/3057PNE,41,PD,EU,Top-up to target,1
59/3057PNE,38,PM,AU,Fallback to outlet (unfillable run),2
59/3057PNE,40,PM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,37,PM,VR,Fill required run,1
59/3057PNE,37,RM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,38,RM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,39,RM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,40,RM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,41,RM,AU,Fallback to outlet (unfillable run),1
59/3057PNE,40,TV,AR,Fill required run,1
59/3057PNE,36,VR,AR,Fill required run,1
59/3057PTM,37,AR,BS,Top-up to target,1
59/3057PTM,38,AR,BS,Top-up to target,1
59/3057PTM,38,AR,NV,Fill required run,1
59/3057PTM,39,AR,NV,Fill required run,1
59/3057PTM,38,BO,AR,Top-up to target,1
59/3057PTM,40,BO,RM,Top-up to target,1
59/3057PTM,37,BS,CO,Top-up to target,1
59/3057PTM,37,CO,NV,Fill required run,1
59/3057PTM,37,EU,AR,Top-up to target,1
59/3057PTM,39,EU,AR,Top-up to target,1
59/3057PTM,38,EU,AU,Fallback to outlet (unfillable run),1
59/3057PTM,39,EU,OR,Fill required run,1
59/3057PTM,37,NV,OR,Fill required run,1
59/3057PTM,38,NV,OR,Fill required run,1
59/3057PTM,37,OR,LN,Fill required run,1
59/3057PTM,38,OR,LN,Fill required run,1
59/3057PTM,39,RI,RM,Top-up to target,1
59/3057PTM,37,RM,EU,Top-up to target,1
59/3057PTM,40,RM,EU,Top-up to target,1
59/3057PTM,39,RM,LN,Fill required run,1
59/3057PTM,38,TV,RM,Top-up to target,1
59/3057PTM,38,VR,EU,Top-up to target,1
59/3057PTM,39,VR,EU,Top-up to target,1
59/3057PTM,37,VR,RM,Top-up to target,1
59/3058PBO,36,AR,BO,Fill required run,1
59/3058PBO,37,AR,BO,Fill required run,1
59/3058PBO,38,AR,BO,Fill required run,1
59/3058PBO,39,AR,BO,Fill required run,1
59/3058PBO,36,BO,CO,Fill required run,1
59/3058PBO,37,BO,CO,Fill required run,1
59/3058PBO,38,BO,CO,Fill required run,1
59/3058PBO,40,BO,CO,Fill required run,1
59/3058PBO,36,BS,AU,Fallback to outlet (unfillable run),1
59/3058PBO,38,BS,EU,Top-up to target,1
59/3058PBO,39,BS,EU,Top-up to target,1
59/3058PBO,37,BS,NV,Fill required run,1
59/3058PBO,38,BS,NV,Fill required run,1
59/3058PBO,39,BS,NV,Fill required run,1
59/3058PBO,40,BS,RM,Top-up to target,1
59/3058PBO,37,CO,AR,Fill required run,1
59/3058PBO,36,CO,BS,Fill required run,1
59/3058PBO,38,CO,BS,Fill required run,1
59/3058PBO,39,CO,BS,Fill required run,1
59/3058PBO,40,CO,BS,Fill required run,1
59/3058PBO,36,EU,AR,Fill required run,1
59/3058PBO,38,EU,AR,Fill required run,1
59/3058PBO,39,EU,AR,Fill required run,1
59/3058PBO,40,EU,AR,Fill required run,1
59/3058PBO,40,EU,BO,Fill required run,1
59/3058PBO,39,EU,OR,Fill required run,1
59/3058PBO,39,EU,RI,Fill required run,1
59/3058PBO,36,EU,RM,Top-up to target,1
59/3058PBO,37,EU,VR,Top-up to target,1
59/3058PBO,38,EU,VR,Top-up to target,1
59/3058PBO,37,LN,PM,Fill required run,1
59/3058PBO,38,LN,PM,Fill required run,1
59/3058PBO,37,NV,OR,Fill required run,1
59/3058PBO,38,NV,OR,Fill required run,1
59/3058PBO,37,OR,RI,Fill required run,1
59/3058PBO,38,OR,RI,Fill required run,1
59/3058PBO,37,PM,RM,Top-up to target,1
59/3058PBO,39,PM,RM,Top-up to target,1
59/3058PBO,37,RI,VR,Fill required run,1
59/3058PBO,38,RI,VR,Fill required run,1
59/3058PBO,35,RM,AU,Fallback to outlet (unfillable run),1
59/3058PBO,37,RM,AU,Fallback to outlet (unfillable run),2
59/3058PBO,38,RM,AU,Fallback to outlet (unfillable run),2
59/3058PBO,36,RM,EU,Fill required run,1
59/3058PBO,36,RM,EU,Top-up to target,1
59/3058PBO,40,RM,EU,Top-up to target,1
59/3058PBO,39,RM,PM,Fill required run,1
59/3058PBO,37,VR,AU,Fallback to outlet (unfillable run),1
59/3058PBO,37,VR,EU,Top-up to target,1
59/3058PBO,37,VR,LN,Fill required run,1
59/3058PBO,38,VR,LN,Fill required run,1
59/3058PBO,39,VR,LN,Fill required run,1
59/3058PBO,38,VR,RM,Top-up to target,1
59/3058PNE,37,AR,AU,Fallback to outlet (unfillable run),1
59/3058PNE,38,AR,AU,Fallback to outlet (unfillable run),1
59/3058PNE,39,AR,AU,Fallback to outlet (unfillable run),1
59/3058PNE,36,AR,BS,Top-up to target,1
59/3058PNE,36,BO,AU,Fallback to outlet (unfillable run),1
59/3058PNE,38,BO,AU,Fallback to outlet (unfillable run),1
59/3058PNE,39,BO,AU,Fallback to outlet (unfillable run),1
59/3058PNE,37,BO,NV,Fill required run,1
59/3058PNE,36,BS,BO,Fill required run,1
59/3058PNE,37,BS,BO,Fill required run,1
59/3058PNE,39,CO,AU,Fallback to outlet (unfillable run),1
59/3058PNE,40,CO,AU,Fallback to outlet (unfillable run),1
59/3058PNE,36,CO,BS,Fill required run,1
59/3058PNE,40,LN,AU,Fallback to outlet (unfillable run),1
59/3058PNE,37,LN,EU,Top-up to target,1
59/3058PNE,38,LN,NV,Fill required run,1
59/3058PNE,39,LN,RI,Fill required run,1
59/3058PNE,39,LN,VR,Fill required run,1
59/3058PNE,37,NV,RI,Fill required run,1
59/3058PNE,38,NV,RI,Fill required run,1
59/3058PNE,36,OR,AR,Fill required run,1
59/3058PNE,37,OR,BS,Top-up to target,1
59/3058PNE,39,OR,PM,Fill required run,1
59/3058PNE,38,OR,VR,Fill required run,1
59/3058PNE,39,PD,BO,Fill required run,1
59/3058PNE,40,PD,BO,Fill required run,1
59/3058PNE,36,PD,RM,Top-up to target,1
59/3058PNE,37,PD,RM,Top-up to target,1
59/3058PNE,38,PD,RM,Fill required run,1
59/3058PNE,37,PM,CA,Fill required run,1
59/3058PNE,38,PM,CA,Fill required run,1
59/3058PNE,38,RI,PM,Fill required run,1
59/3058PNE,37,RI,VR,Fill required run,1
59/3058PNE,38,TV,BO,Fill required run,1
59/3058PNE,36,TV,EU,Top-up to target,1
59/3058PNE,39,TV,NV,Fill required run,1
59/3058PNE,39,VR,CA,Fill required run,1
59/3058PNE,37,VR,PM,Fill required run,1
59/3058PTM,38,AR,EU,Top-up to target,1
59/3058PTM,38,BO,AR,Top-up to target,1
59/3058PTM,37,BO,EU,Top-up to target,1
59/3058PTM,39,BO,VR,Top-up to target,1
59/3058PTM,37,BS,RM,Top-up to target,1
59/3058PTM,40,BS,VR,Top-up to target,1
59/3058PTM,37,EU,MC,Fallback to outlet (unfillable run),2
59/3058PTM,38,EU,MC,Fallback to outlet (unfillable run),1
59/3058PTM,41,EU,MC,Fallback to outlet (unfillable run),1
59/3058PTM,38,EU,RM,Top-up to target,1
59/3058PTM,37,OR,RI,Fill required run,1
59/3058PTM,38,OR,RI,Fill required run,1
59/3058PTM,37,PM,MC,Fallback to outlet (unfillable run),1
59/3058PTM,37,RI,PM,Fill required run,1
59/3058PTM,38,RI,PM,Fill required run,1
59/3058PTM,38,RM,MC,Fallback to outlet (unfillable run),1
59/3058PTM,37,RM,VR,Fill required run,1
