Article,Size,Qty,From,To,Reason
59/0111853N,37,1,MI,NV,Top-up to target
59/0111853N,38,1,AU,NV,Top-up to target
59/0111853N,37,1,SC,CA,Fill required run
59/0111853N,38,1,MC,CA,Fill required run
59/0111853N,39,1,SD,CA,Fill required run
59/0111853N,37,1,AR,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,AR,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,AR,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,AR,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,AR,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,AR,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,40,1,BO,MI,Fallback to outlet (unfillable run)
59/0111853N,41,1,BS,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,BS,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,BS,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,BS,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,BS,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,BS,MI,Fallback to outlet (unfillable run)
59/0111853N,41,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,CO,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,EU,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,37,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,38,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853N,39,1,RM,MI,Fallback to outlet (unfillable run)
59/0111853T,37,1,AU,EU,Top-up to target
59/0111853T,38,1,AU,EU,Top-up to target
59/0111853T,39,1,AU,EU,Top-up to target
59/0111853T,40,1,AU,EU,Top-up to target
59/0111853T,41,1,LN,EU,Top-up to target
59/0111853T,37,1,PD,AR,Top-up to target
59/0111853T,38,1,SC,AR,Top-up to target
59/0111853T,39,1,SC,AR,Top-up to target
59/0111853T,40,1,SC,AR,Top-up to target
59/0111853T,41,1,EU,AR,Top-up to target
59/0111853T,37,1,TV,RM,Top-up to target
59/0111853T,38,1,MC,RM,Top-up to target
59/0111853T,39,1,MI,RM,Top-up to target
59/0111853T,40,1,MI,RM,Top-up to target
59/0111853T,37,1,LN,BS,Top-up to target
59/0111853T,38,1,MI,BS,Top-up to target
59/0111853T,39,1,SM,BS,Top-up to target
59/0111853T,40,1,PD,BS,Top-up to target
59/0111853T,41,1,AR,BS,Top-up to target
59/0111853T,37,1,PM,CO,Top-up to target
59/0111853T,38,1,SM,CO,Top-up to target
59/0111853T,37,1,NV,VR,Fill required run
59/0111853T,39,1,ME2,VR,Fill required run
59/0111853T,37,1,RI,NV,Fill required run
59/0111853T,37,1,OR,NV,Top-up to target
59/0111853T,37,1,NV,OR,Fill required run
59/0111853T,37,1,NV,OR,Top-up to target
59/0111853T,41,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,AR,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,BO,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,BO,SM,Fallback to outlet (unfillable run)
59/0111853T,41,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,37,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,38,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,39,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,BS,SM,Fallback to outlet (unfillable run)
59/0111853T,40,1,CA,SM,Fallback to outlet (unfillable run)
